Library,Scope,Library Version,File Path,Vulnerabilities,License,Language,Recommended upgrade,Vulnerability List
org.eclipse.jdt:org.eclipse.jdt.core,-,3.30.0,,,,,,[]
org.eclipse.jdt:org.eclipse.jdt.launching,-,3.19.600,,,,,,[]
org.eclipse.jdt:org.eclipse.jdt.debug,-,3.19.200,,,,,,[]
org.eclipse.platform:org.eclipse.core.variables,-,3.5.100,,,,,,[]
org.eclipse.platform:org.eclipse.debug.core,-,3.19.100,,,,,,[]
org.eclipse.platform:org.eclipse.text,-,3.12.100,,,,,,[]
org.eclipse.platform:org.eclipse.core.commands,-,3.10.200,,,,,,[]
org.apache.logging.log4j:log4j-slf4j-impl,-,2.14.1,,,,,,[]
org.apache.logging.log4j:log4j-api,-,2.14.1,,,,,,[]
org.apache.logging.log4j:log4j-core,-,2.14.1,,,,,,[]
org.apache.logging.log4j:log4j-jul,-,2.14.1,,,,,,[]
org.slf4j:jul-to-slf4j,-,1.7.32,,,,,,[]
io.apiman:apiman-distro-tools,-,2.2.0.Final,,,,,,[]
io.apiman:apiman-migration-assistant,-,2.2.0.Final,,,,,,[]
info.picocli:picocli,-,4.6.1,,,,,,[]
info.picocli:picocli-codegen,-,4.6.1,,,,,,[]
com.squareup.okhttp:okhttp,-,2.7.5,,,,,,[]
com.squareup.okio:okio,-,1.6.0,,,,,,[]
io.apiman:apiman-manager-api-beans,-,2.2.0.Final,,,,,,[]
io.apiman:apiman-common-util,-,2.2.0.Final,,,,,,[]
com.fasterxml.jackson.core:jackson-databind,-,2.12.5,,,,,,[]
com.fasterxml.jackson.core:jackson-annotations,-,2.12.5,,,,,,[]
com.fasterxml.jackson.core:jackson-core,-,2.12.5,,,,,,[]
com.sun.activation:javax.activation,-,1.2.0,,,,,,[]
ognl:ognl,-,3.2.15,,,,,,[]
org.javassist:javassist,-,3.27.0-GA,,,,,,[]
org.camunda.connect:camunda-connect-http-client,-,1.5.2,,,,,,[]
org.apache.httpcomponents:httpclient,-,4.5.13,,,,,,[]
org.apache.httpcomponents:httpcore,-,4.4.13,,,,,,[]
commons-logging:commons-logging,-,1.2,,,,,,[]
commons-codec:commons-codec,-,1.15,,,,,,[]
org.camunda.connect:camunda-connect-soap-http-client,-,1.5.2,,,,,,[]
org.eclipse.emf:org.eclipse.emf.common,-,2.26.0-SNAPSHOT,,,,,,[]
org.eclipse.emf:org.eclipse.emf.ecore,-,2.28.0-SNAPSHOT,,,,,,[]
org.eclipse.emf:org.eclipse.emf.ecore.xmi,-,2.17.0-SNAPSHOT,,,,,,[]
org.eclipse.emf:org.eclipse.emf.codegen,-,2.22.0-SNAPSHOT,,,,,,[]
org.eclipse.jdt:org.eclipse.jdt.launching.javaagent,-,3.9.700-SNAPSHOT,,,,,,[]
org.jetbrains:annotations,-,13.0,,,,,,[]
org.apache.logging.log4j:log4j-core,-,2.17.0,,,,,,[]
org.apache.logging.log4j:log4j-api,-,2.17.0,,,,,,[]
org.apache.maven:maven-artifact,-,3.8.4,,,,,,[]
org.codehaus.plexus:plexus-utils,-,3.3.0,,,,,,[]
org.apache.commons:commons-lang3,-,3.12.0,,,,,,[]
